,Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,distance to subway
131,Central Harlem,1.0,2.0,40.813417,-73.959181,880000.0,950.0,,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
132,Central Harlem,2.0,3.0,40.81205900000001,-73.959326,1195000.0,1100.0,,10027.0,125th St,1,,,,,,,,,,,0.35095561336789144
133,Central Harlem,4.0,4.0,40.808422,-73.94165699999998,2600000.0,2360.0,1909,10027.0,125th St,2,3,,,,,,,,,,0.3067238225042843
134,Central Harlem,2.0,2.0,40.813201,-73.952903,1218000.0,1065.0,2018,10027.0,125th St,A,B,C,D,,,,,,,,0.16622274433836484
135,Central Harlem,1.0,2.0,40.813093,-73.958387,695000.0,9180.0,1956,10027.0,125th St,1,,,,,,,,,,,0.22799160153599948
136,Central Harlem,4.0,3.0,40.809298999999996,-73.945396,2500000.0,2577.0,2018,10027.0,125th St,2,3,,,,,,,,,,0.14539782729335562
137,Central Harlem,3.0,3.0,40.810398,-73.943099,2275000.0,2116.0,2005,10027.0,125th St,2,3,,,,,,,,,,0.3329289251320413
138,Central Harlem,1.0,2.0,40.813417,-73.959181,700000.0,950.0,1956,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
139,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,549000.0,700.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
140,Central Harlem,3.0,3.0,40.811599,-73.959701,3160000.0,1839.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
141,Central Harlem,2.0,2.0,40.810398,-73.943099,1085000.0,1292.0,2005,10027.0,125th St,2,3,,,,,,,,,,0.3329289251320413
142,Central Harlem,3.0,3.0,40.811599,-73.959701,2670000.0,1764.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
143,Central Harlem,1.0,0.0,40.8129,-73.9449,619000.0,503.0,2015,10027.0,135th St,2,3,,,,,,,,,,0.3420197170152688
144,Central Harlem,1.0,1.0,40.813201,-73.952903,835000.0,743.0,2018,10027.0,125th St,A,B,C,D,,,,,,,,0.16622274433836484
145,Central Harlem,3.0,3.0,40.811599,-73.959701,2950000.0,1764.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
146,Central Harlem,1.0,2.0,40.808911,-73.96523,1400000.0,148982.0,1910,10027.0,116th St-Columbia University,1,,,,,,,,,,,0.12967716536221777
147,Central Harlem,4.0,4.0,40.811599,-73.959701,3800000.0,2120.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
148,Central Harlem,1.0,2.0,40.813417,-73.959181,735000.0,9180.0,1956,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
149,Central Harlem,3.0,2.0,40.811599,-73.959701,2100000.0,1452.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
150,Central Harlem,2.0,2.0,40.807598,-73.950401,1275000.0,1146.0,2018,10027.0,125th St,A,B,C,D,,,,,,,,0.3737995831176089
151,Central Harlem,1.0,2.0,40.81251500000001,-73.958696,740000.0,904.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
152,Central Harlem,3.0,3.0,40.808267,-73.951287,2095000.0,2114.0,1910,10027.0,125th St,A,B,C,D,,,,,,,,0.27384893173125213
153,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,538000.0,700.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
154,Central Harlem,1.0,2.0,40.81205900000001,-73.959326,925000.0,950.0,1957,10027.0,125th St,1,,,,,,,,,,,0.35095561336789144
155,Central Harlem,1.0,2.0,40.812615,-73.957213,849000.0,950.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29943760938520864
156,Central Harlem,1.0,2.0,40.813093,-73.958387,675000.0,9180.0,1956,10027.0,125th St,1,,,,,,,,,,,0.22799160153599948
157,Central Harlem,1.0,1.0,40.81205900000001,-73.959326,750000.0,700.0,1957,10027.0,125th St,1,,,,,,,,,,,0.35095561336789144
158,Central Harlem,1.0,0.0,40.80985,-73.943102,573000.0,479.0,2014,10027.0,125th St,2,3,,,,,,,,,,0.2833277809436486
159,Central Harlem,2.0,2.0,40.811599,-73.959701,1750000.0,1189.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
160,Central Harlem,1.0,1.0,40.808399,-73.952201,845000.0,755.0,2010,10027.0,125th St,A,B,C,D,,,,,,,,0.2386867328595911
161,Central Harlem,2.0,2.0,40.811599,-73.959701,2225000.0,1289.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
162,Central Harlem,2.0,1.0,40.809101,-73.955299,995000.0,945.0,2011,10027.0,125th St,A,B,C,D,,,,,,,,0.2652833792053966
163,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,547500.0,700.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
164,Central Harlem,2.0,2.0,40.811599,-73.959701,1850000.0,1243.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
165,Central Harlem,1.0,2.0,40.81251500000001,-73.958696,849000.0,950.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
166,Central Harlem,2.0,2.0,40.807598,-73.950401,1395000.0,1146.0,2018,10027.0,125th St,A,B,C,D,,,,,,,,0.3737995831176089
167,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,605000.0,950.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
168,Central Harlem,1.0,1.0,40.809101,-73.955299,720000.0,,2011,10027.0,125th St,A,B,C,D,,,,,,,,0.2652833792053966
169,Central Harlem,1.0,0.0,40.811599,-73.959701,970000.0,542.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
170,Central Harlem,1.0,1.0,40.811599,-73.959701,1265000.0,733.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
171,Central Harlem,1.0,1.0,40.813417,-73.959181,580000.0,,,10027.0,125th St,1,,,,,,,,,,,0.20182526362260178
172,Central Harlem,1.0,1.0,40.811599,-73.959701,1275000.0,831.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
173,Central Harlem,1.0,1.0,40.811599,-73.959701,1320000.0,801.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
174,Central Harlem,1.0,1.0,40.809101,-73.951599,870000.0,,2010,10027.0,125th St,A,B,C,D,,,,,,,,0.17878926476367032
175,Central Harlem,1.0,1.0,40.806999,-73.947402,889000.0,842.0,2008,10027.0,125th St,2,3,,,,,,,,,,0.15822864140717519
176,Central Harlem,1.0,1.0,40.811599,-73.959701,1150000.0,770.0,2019,10027.0,125th St,1,,,,,,,,,,,0.40813566431926024
177,Central Harlem,2.0,3.0,40.821498,-73.9402,299000.0,1100.0,1921,10030.0,145th St,3,,,,,,,,,,,0.33617211155197746
